X.clade_name	clade_taxid	SRR16348844_profile	SRR16348845_profile	SRR16348846_profile	SRR16348849_profile	SRR16348850_profile	SRR16348851_profile	SRR16348852_profile	SRR16348853_profile	SRR16348854_profile	SRR16348855_profile	SRR16348856_profile	SRR16348857_profile	SRR16348858_profile	SRR16348859_profile	SRR16348860_profile	SRR16348861_profile	SRR16348862_profile	SRR16348863_profile	SRR16348864_profile	SRR16348865_profile	SRR16348866_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	 64161	  1526	NA	   4647	NA	231165	  73018	 27354	156295	NA	154996	  1569	380186	 45491	295246	  4271	116888	 29722	  5355	  8085	  15208
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	2|201174|84998|1643822|1643826|580024	 37695	115242	NA	  26352	  22085	 16090	  27102	 17937	 87594	  36462	192897	 27167	 47645	 51675	 40705	 55674	 16126	 16807	 38157	 32964	  46461
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	 35977	 10626	   1827	 259857	   9913	NA	   3190	  2262	  2486	   2069	  1450	NA	NA	  6883	  6908	NA	  3882	  2673	  7025	  9275	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	2|1239|186801|186802|541000|244127	 28879	  9204	NA	NA	NA	 22504	  32310	 10255	  7510	NA	  9727	 14630	 23125	  9515	 10830	 10963	  8358	 38220	 31931	  2444	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	2|1239|91061|186826|1300|1357	 13072	  6485	NA	NA	NA	   218	   8172	   869	 14893	NA	 14855	  2634	  6647	  9941	  8287	 10085	   233	  1852	  4662	  8608	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	2|1239|91061|186826|81850|1243	  6971	  3992	NA	NA	NA	   821	   8193	  2062	  8864	NA	 14304	  2528	  4098	  4389	  5692	  6457	    76	  1877	  2154	  7208	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	2|1239|186801|186802|31979|1485	 17023	104426	NA	   5591	NA	  9601	  86725	 27703	135248	NA	197527	 88606	 72849	  5882	 13797	 49504	 24951	 14583	 18160	  7125	  42809
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	2|1239|526524|526525|128827|1505663	  4521	NA	NA	    537	   7075	NA	NA	NA	  3597	  38174	NA	NA	  8931	NA	NA	 12479	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	2|976|200643|171549|2005473|1918540	  4549	  2193	NA	  57477	   5393	NA	  12372	NA	NA	NA	NA	NA	NA	   717	  2909	  1202	NA	  1675	NA	  1571	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	  2518	  2263	   2905	  42013	 498530	NA	   1995	NA	  3848	  26045	  4893	   380	  3726	  2588	  5630	 15808	   301	   303	  1280	  5758	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	  5083	 15896	   2821	    536	   7850	NA	NA	   660	 45750	   1290	   125	NA	  7354	 29231	   288	NA	 17561	 11265	NA	 18166	   1102
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	2|1239|91061|186826|33958|1253	  1818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  1023	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	2|1239||||	  1838	 11333	NA	NA	NA	  2679	    603	  3497	 18838	NA	 19744	  2569	  1033	 10424	 14070	   692	  2336	  7546	   312	   626	   5762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	2|1239|186801|186802|216572|459786	  2041	NA	NA	NA	NA	    94	   5764	  6799	   730	NA	 24010	   752	NA	   288	  1557	   286	NA	  6937	   458	   380	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	2|1239|186801|186802|186803|841	  1716	   629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  3448	NA	NA	NA	  2213	  1036	NA	  2117	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	2|976|200643|171549|2005525|375288	  1796	  1666	NA	NA	NA	NA	    852	NA	   959	NA	NA	NA	   223	NA	NA	NA	   749	   223	NA	  1084	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	2|1239|186801|186802|186806|1730	   900	NA	NA	NA	NA	 24151	    758	 16411	NA	NA	  1007	 14197	 57763	NA	 34934	NA	 25446	  9733	NA	 28596	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	  1393	  8768	NA	  15461	NA	  1358	  26869	   295	 19342	   2390	 18559	  4102	NA	   189	 15946	 12756	  2176	 31101	  6872	 22961	  41405
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	2|1239|186801|186802|541000|216851	   444	NA	NA	NA	    158	NA	NA	NA	NA	NA	NA	NA	  2962	NA	NA	NA	NA	  1456	NA	  1363	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Globicatella	2|1239|91061|186826|186827|13075	   278	NA	NA	NA	NA	NA	    791	NA	  1030	NA	NA	NA	NA	NA	   590	NA	NA	NA	NA	   178	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia	2|1239|186801|186802|186804|1501226	   131	   525	NA	NA	NA	NA	   3710	NA	NA	NA	NA	   862	NA	NA	   836	  1215	NA	    64	   198	  3988	NA
