clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	340	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	353	673	0	0	0	1695	0	132	0	0	1492	5010	0	0	0	0	0	1066	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromo0daceae	246	795	218	0	0	219	29	30	21375	0	0	0	0	302	2046	218	0	648	316
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	242	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	458	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	1133264	5649	10727	229660	20314	0	0	0	0	0	0	0	0	0	0	0	317316	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	716223	507128	972063	624314	397418	822895	1961758	684078	573939	768580	1310976	768952	816638	951837	159433	1449019	1180785	2019702	1926431
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	470043	8718	280483	31081	56479	24252	89287	22772	11999	8085	41511	40164	50032	99077	3593	54524	96566	255379	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	724064	9696997	5571392	3398547	3905216	584783	3312400	477449	3965065	390303	7100348	10755629	2389541	1934820	257819	320657	643612	7140777	6765581
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	303305	321	8769	81133	29839	50069	0	18149	91701	10061	33343	0	64221	18872	82030	22586	1095710	2473	32903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	307990	10507	967950	29081	15966	5974101	1226577	5909059	129715	6827242	69684	51385	1709911	936638	2774245	5233508	668100	26283	18851
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	238346	283621	349290	121696	0	182174	108367	0	161637	93872	188571	135139	10846	103900	42635	44688	6666	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	172154	171903	314911	740850	210119	40171	185655	58011	218065	86065	662212	23628	414857	127000	63921	452821	118315	219756	133498
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	154069	0	0	485941	0	0	0	0	0	0	0	0	0	0	224767	0	70765	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	137522	17479	40048	898	55849	795	18963	41887	8161	8344	4439	3817	28366	24489	8569	783	156573	20992	0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis	250232	0	29387	5818	0	2610	0	0	8988	0	0	0	0	35195	39408	0	3497	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	75098	27664	102561	118485	87468	83412	337851	77967	89417	80183	118342	41	178620	418133	67551	84378	135014	14978	182500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	87060	0	0	53353	0	0	20082	5511	2286	0	64006	1386	2063	50057	503988	6518	0	0	81123
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	56201	0	0	0	3029	7349	88865	0	0	0	23813	0	1074	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	52577	40367	7585	36232	32558	13229	28137	97451	14394	12642	22013	0	18750	49421	4614	116989	46654	44266	26768
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	95476	4935	1355	5765	11658	6730	3932	8546	9353	319	18031	13593	1832	95	4260	1879	1091	0	20299
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	71617	470622	240501	284296	57776	54017	23330	139491	296517	27468	70016	42716	116518	104870	1538	3968759	68358	20194	3632
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified	59921	0	0	4374	61888	0	922	1296	266	0	0	0	110448	0	0	4385	1497	0	1734
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	70196	385823	950427	391231	187931	143505	1895425	1117726	498009	372729	2212901	2447930	680296	452476	87408	903099	45302	298075	492844
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrio0ceae|g__Desulfovibrio	44790	0	52350	80998	0	0	0	0	0	0	0	0	0	0	91942	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	22162	10000	7034	15586	0	48062	278	246	710	2205	15561	24911	11640	7326	92733	54036	0	2846	6981
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	40847	61494	100817	210635	142514	12276	38910	4548	49235	4332	114111	111374	20338	78228	9924	96216	8980	62443	73643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger	34906	13326	28176	7823	10413	9016	12731	8820	8264	9814	57832	30943	11991	14482	1657	12315	22242	8892	8970
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	16556	4161	2547	23937	0	2425	12886	393	1956	662	19048	11539	0	14542	25125	20596	0	0	1683
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimo0s	29901	46199	33356	11420	0	799	4544	24892	30542	962	143308	32768	27939	7464	2949	0	3808	2187	13559
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	44368	0	0	9982	0	0	0	0	0	0	232844	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	21188	90248	242399	49283	35189	36802	82630	35706	44112	35364	0	296515	74351	87246	37819	25003	15934	21092	39641
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	16454	43593	102058	140514	111675	448655	134316	4572	62779	278629	189257	12411	1866	222627	51058	39233	67491	5337	231432
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	10611	3744	4656	4034	6014	1449	0	1876	1387	0	1761	0	0	0	4317	9705	0	0	0
